Individual,Block,Strain,Replicate,Cell,Environment,Sex,Focal haplotype,Social haplotype,Mortality,Social Survival,Development time (hrs),Wing size (mm),Day emerged,Hours from lights on,Female offspring,Male offspring,Total female assay,Male red 1,Female red 1,Total red vial 1,Male bw 1,Female bw 1,Total bw vial 1,Proportion red vial 1,Male red 2,Female red 2,Total red vial 2,Male bw 2,Female bw 2,Total bw vial 2,Proportion red vial 2,Total red all vials,Total bw all vials,Proportion red all vials
1177,4,Israel 1,24,14,8,F,Israel,Dahomey,N,P,250,1.053,10,12,22,24,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1178,4,Dahomey 1,24,14,8,M,Dahomey,Israel,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1179,4,Sweden 1,24,15,8,F,Sweden,Dahomey,P,P,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1180,4,Dahomey 1,24,15,8,M,Dahomey,Sweden,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1181,4,Barcelona 1,24,16,8,F,Barcelona,Israel,N,P,296,0.909,12,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,4,Israel 1,24,16,8,M,Israel,Barcelona,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1183,4,Brownsville 1,24,17,8,F,Brownsville,Israel,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1184,4,Israel 1,24,17,8,M,Israel,Brownsville,N,L,249,1.007,10,11,NA,NA,NA,0,0,0,11,22,33,0,0,0,0,15,16,31,0,0,64,0
1185,4,Dahomey 1,24,18,8,F,Dahomey,Israel,N,P,276,0.992,11,14,17,17,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1186,4,Israel 1,24,18,8,M,Israel,Dahomey,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1187,4,Israel 1,24,19,8,F,Israel,Israel,N,P,252,0.975,10,14,20,24,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1188,4,Israel 1,24,19,8,M,Israel,Israel,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1189,4,Sweden 1,24,20,8,F,Sweden,Israel,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1190,4,Israel 1,24,20,8,M,Israel,Sweden,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1191,4,Barcelona 1,24,21,8,F,Barcelona,Sweden,N,N,263,,10,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1192,4,Sweden 1,24,21,8,M,Sweden,Barcelona,N,N,263,,10,1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1193,4,Brownsville 1,24,22,8,F,Brownsville,Sweden,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1194,4,Sweden 1,24,22,8,M,Sweden,Brownsville,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1195,4,Dahomey 1,24,23,8,F,Dahomey,Sweden,N,N,251,1.076,10,13,22,25,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1196,4,Sweden 1,24,23,8,M,Sweden,Dahomey,N,N,268,0.878,11,6,NA,NA,NA,0,0,0,25,22,47,0,0,0,0,13,8,21,0,0,68,0
1197,4,Israel 1,24,24,8,F,Israel,Sweden,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1198,4,Sweden 1,24,24,8,M,Sweden,Israel,N,P,266,0.922,11,4,NA,NA,NA,0,0,0,8,10,18,0,0,0,0,0,0,0,0,0,18,0
1199,4,Sweden 1,24,25,8,F,Sweden,Sweden,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200,4,Sweden 1,24,25,8,M,Sweden,Sweden,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1201,4,Barcelona 2,25,1,7,F,Barcelona,Barcelona,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1202,4,Barcelona 2,25,1,7,M,Barcelona,Barcelona,N,P,251,0.918,10,13,NA,NA,NA,40,33,73,3,14,17,0.811111111,1,1,2,17,8,25,0.074074074,75,42,0.641025641
1203,4,Brownsville 2,25,2,7,F,Brownsville,Barcelona,N,N,264,1.016,11,2,25,18,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1204,4,Barcelona 2,25,2,7,M,Barcelona,Brownsville,N,N,252,NA,10,14,NA,NA,NA,0,0,0,25,30,55,0,0,0,0,3,3,6,0,0,61,0
1205,4,Dahomey 2,25,3,7,F,Dahomey,Barcelona,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
